                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 0.4069,                0.25806,                 0.8661,                0.99776,                      1,                  0.995,                0.96563,                 0.3279,                0.22506,                0.78775,              0.0003764,              0.0003764,              0.0003764
                     85,                0.40918,                0.27363,                0.86502,                0.99766,                      1,                  0.995,                0.95396,                0.34151,                0.22199,                0.79284,              0.0003566,              0.0003566,              0.0003566
                     86,                0.38506,                0.24962,                0.84803,                0.99802,                      1,                  0.995,                0.96368,                0.30536,                0.21859,                0.78662,              0.0003368,              0.0003368,              0.0003368
                     87,                0.40995,                0.26185,                0.86027,                0.99824,                      1,                  0.995,                0.96985,                0.31343,                0.20962,                 0.7899,               0.000317,               0.000317,               0.000317
                     88,                0.39697,                0.24389,                0.84608,                0.99815,                      1,                  0.995,                0.95423,                0.35032,                0.22518,                0.79585,              0.0002972,              0.0002972,              0.0002972
                     89,                0.38693,                0.24353,                0.86211,                0.99788,                      1,                  0.995,                 0.9665,                0.31005,                0.20744,                0.78391,              0.0002774,              0.0002774,              0.0002774
                     90,                0.40396,                0.25745,                0.86907,                0.99768,                      1,                  0.995,                0.97185,                0.30444,                0.21083,                0.78116,              0.0002576,              0.0002576,              0.0002576
                     91,                 0.3743,                0.22949,                 0.8246,                0.99745,                      1,                  0.995,                0.96107,                0.33969,                 0.2181,                0.79099,              0.0002378,              0.0002378,              0.0002378
                     92,                0.37827,                0.23812,                 0.8348,                0.99791,                      1,                  0.995,                0.97055,                 0.3044,                0.20977,                0.78524,               0.000218,               0.000218,               0.000218
                     93,                0.35672,                 0.2158,                0.82694,                  0.998,                      1,                  0.995,                0.97969,                0.28704,                0.20224,                0.78043,              0.0001982,              0.0001982,              0.0001982
                     94,                0.35789,                0.22193,                0.83455,                0.99806,                      1,                  0.995,                0.96782,                0.29666,                0.20041,                0.77967,              0.0001784,              0.0001784,              0.0001784
                     95,                0.36824,                0.22478,                0.83906,                0.99812,                      1,                  0.995,                0.96889,                0.31043,                0.20093,                0.78308,              0.0001586,              0.0001586,              0.0001586
                     96,                0.36703,                0.22498,                0.84642,                0.99815,                      1,                  0.995,                0.94826,                 0.3242,                0.20656,                0.78657,              0.0001388,              0.0001388,              0.0001388
                     97,                0.34135,                 0.2147,                0.81984,                0.99815,                      1,                  0.995,                 0.9823,                0.29978,                0.19862,                0.78204,               0.000119,               0.000119,               0.000119
                     98,                0.35294,                0.21264,                0.82865,                0.99814,                      1,                  0.995,                0.97426,                 0.2973,                 0.1962,                0.78181,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 0.3231,                0.19824,                0.81486,                0.99814,                      1,                  0.995,                0.97655,                0.30148,                0.19958,                0.78331,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.33209,                 0.2041,                0.81691,                0.99817,                      1,                  0.995,                 0.9782,                0.31088,                0.20547,                0.78494,               5.96e-05,               5.96e-05,               5.96e-05
